Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,1,1,121,9,Some Random Commen with Id 0
1,1,1,91,6,Some Random Commen with Id 1
2,1,1,81,0,Some Random Commen with Id 2
3,1,1,44,3,Some Random Commen with Id 3
4,1,1,104,1,Some Random Commen with Id 4
5,1,1,57,0,Some Random Commen with Id 5
6,1,1,131,3,Some Random Commen with Id 6
7,1,1,144,7,Some Random Commen with Id 7
8,2,6,39,8,Some Random Commen with Id 8
9,2,6,185,2,Some Random Commen with Id 9
10,2,6,30,4,Some Random Commen with Id 10
11,2,6,133,3,Some Random Commen with Id 11
12,2,6,63,0,Some Random Commen with Id 12
13,2,6,101,5,Some Random Commen with Id 13
14,2,6,197,1,Some Random Commen with Id 14
15,2,6,1,1,Some Random Commen with Id 15
16,3,0,84,8,Some Random Commen with Id 16
17,3,0,23,5,Some Random Commen with Id 17
18,4,8,42,2,Some Random Commen with Id 18
19,4,8,174,5,Some Random Commen with Id 19
20,5,0,37,7,Some Random Commen with Id 20
21,5,0,12,6,Some Random Commen with Id 21
22,5,0,42,2,Some Random Commen with Id 22
23,5,0,105,5,Some Random Commen with Id 23
24,5,0,103,2,Some Random Commen with Id 24
25,5,0,85,6,Some Random Commen with Id 25
26,5,0,77,1,Some Random Commen with Id 26
27,6,0,112,2,Some Random Commen with Id 27
28,6,0,9,3,Some Random Commen with Id 28
29,6,0,9,3,Some Random Commen with Id 29
30,8,1,96,9,Some Random Commen with Id 30
31,8,1,95,5,Some Random Commen with Id 31
32,8,1,95,6,Some Random Commen with Id 32
33,8,1,167,1,Some Random Commen with Id 33
34,8,1,114,0,Some Random Commen with Id 34
35,9,2,92,1,Some Random Commen with Id 35
36,9,2,15,0,Some Random Commen with Id 36
37,9,2,88,3,Some Random Commen with Id 37
38,9,2,77,7,Some Random Commen with Id 38
39,9,2,68,4,Some Random Commen with Id 39
40,9,2,154,1,Some Random Commen with Id 40
41,9,2,80,0,Some Random Commen with Id 41
42,9,2,124,8,Some Random Commen with Id 42
43,10,6,96,8,Some Random Commen with Id 43
44,10,6,183,8,Some Random Commen with Id 44
45,10,6,123,0,Some Random Commen with Id 45
46,10,6,119,3,Some Random Commen with Id 46
47,10,6,94,6,Some Random Commen with Id 47
48,10,6,110,2,Some Random Commen with Id 48
49,10,6,52,9,Some Random Commen with Id 49
50,11,5,170,7,Some Random Commen with Id 50
51,11,5,191,3,Some Random Commen with Id 51
52,11,5,154,9,Some Random Commen with Id 52
53,11,5,187,0,Some Random Commen with Id 53
54,11,5,75,1,Some Random Commen with Id 54
55,11,5,14,7,Some Random Commen with Id 55
56,13,6,99,4,Some Random Commen with Id 56
57,13,6,138,9,Some Random Commen with Id 57
58,13,6,94,1,Some Random Commen with Id 58
59,13,6,138,6,Some Random Commen with Id 59
60,13,6,198,5,Some Random Commen with Id 60
61,13,6,35,2,Some Random Commen with Id 61
62,14,3,57,6,Some Random Commen with Id 62
63,14,3,10,9,Some Random Commen with Id 63
64,14,3,139,2,Some Random Commen with Id 64
65,14,3,47,6,Some Random Commen with Id 65
66,14,3,191,0,Some Random Commen with Id 66
67,14,3,63,0,Some Random Commen with Id 67
68,14,3,63,4,Some Random Commen with Id 68
69,15,8,116,2,Some Random Commen with Id 69
70,15,8,78,1,Some Random Commen with Id 70
71,15,8,13,2,Some Random Commen with Id 71
72,16,2,172,3,Some Random Commen with Id 72
73,16,2,36,6,Some Random Commen with Id 73
74,16,2,101,3,Some Random Commen with Id 74
75,17,3,52,8,Some Random Commen with Id 75
76,17,3,125,2,Some Random Commen with Id 76
77,17,3,50,9,Some Random Commen with Id 77
78,17,3,194,0,Some Random Commen with Id 78
79,17,3,116,9,Some Random Commen with Id 79
80,18,1,80,6,Some Random Commen with Id 80
81,18,1,61,6,Some Random Commen with Id 81
82,19,8,78,0,Some Random Commen with Id 82
83,20,7,40,1,Some Random Commen with Id 83
84,20,7,97,3,Some Random Commen with Id 84
85,20,7,138,7,Some Random Commen with Id 85
86,20,7,121,1,Some Random Commen with Id 86
87,20,7,25,6,Some Random Commen with Id 87
88,20,7,119,0,Some Random Commen with Id 88
89,21,8,88,4,Some Random Commen with Id 89
90,21,8,13,6,Some Random Commen with Id 90
91,22,1,73,7,Some Random Commen with Id 91
92,22,1,4,4,Some Random Commen with Id 92
93,22,1,199,1,Some Random Commen with Id 93
94,22,1,198,1,Some Random Commen with Id 94
95,22,1,133,5,Some Random Commen with Id 95
96,22,1,85,4,Some Random Commen with Id 96
97,22,1,182,0,Some Random Commen with Id 97
98,23,2,62,2,Some Random Commen with Id 98
99,23,2,163,7,Some Random Commen with Id 99
100,24,9,93,5,Some Random Commen with Id 100
101,24,9,105,9,Some Random Commen with Id 101
102,24,9,79,2,Some Random Commen with Id 102
103,24,9,132,2,Some Random Commen with Id 103
104,24,9,152,3,Some Random Commen with Id 104
105,24,9,95,5,Some Random Commen with Id 105
106,24,9,56,6,Some Random Commen with Id 106
107,25,4,126,7,Some Random Commen with Id 107
108,25,4,17,3,Some Random Commen with Id 108
109,25,4,137,0,Some Random Commen with Id 109
110,25,4,36,1,Some Random Commen with Id 110
111,25,4,99,7,Some Random Commen with Id 111
112,26,3,93,6,Some Random Commen with Id 112
113,26,3,52,3,Some Random Commen with Id 113
114,26,3,19,1,Some Random Commen with Id 114
115,26,3,67,9,Some Random Commen with Id 115
116,26,3,62,9,Some Random Commen with Id 116
117,26,3,12,5,Some Random Commen with Id 117
118,26,3,127,3,Some Random Commen with Id 118
119,27,2,14,9,Some Random Commen with Id 119
120,27,2,98,2,Some Random Commen with Id 120
121,27,2,160,9,Some Random Commen with Id 121
122,27,2,37,2,Some Random Commen with Id 122
123,27,2,182,8,Some Random Commen with Id 123
124,27,2,148,3,Some Random Commen with Id 124
125,27,2,192,7,Some Random Commen with Id 125
126,27,2,29,2,Some Random Commen with Id 126
127,28,1,139,2,Some Random Commen with Id 127
128,28,1,69,0,Some Random Commen with Id 128
129,28,1,38,6,Some Random Commen with Id 129
130,28,1,158,8,Some Random Commen with Id 130
131,28,1,185,9,Some Random Commen with Id 131
132,28,1,64,5,Some Random Commen with Id 132
133,30,3,140,3,Some Random Commen with Id 133
134,30,3,87,4,Some Random Commen with Id 134
135,30,3,93,2,Some Random Commen with Id 135
136,30,3,168,3,Some Random Commen with Id 136
137,30,3,3,7,Some Random Commen with Id 137
138,30,3,152,6,Some Random Commen with Id 138
139,30,3,192,7,Some Random Commen with Id 139
140,30,3,87,7,Some Random Commen with Id 140
141,30,3,157,4,Some Random Commen with Id 141
142,31,6,160,8,Some Random Commen with Id 142
143,32,5,95,7,Some Random Commen with Id 143
144,32,5,165,0,Some Random Commen with Id 144
145,33,3,39,9,Some Random Commen with Id 145
146,33,3,172,3,Some Random Commen with Id 146
147,33,3,137,2,Some Random Commen with Id 147
148,34,5,193,8,Some Random Commen with Id 148
149,34,5,180,0,Some Random Commen with Id 149
150,34,5,135,4,Some Random Commen with Id 150
151,34,5,33,8,Some Random Commen with Id 151
152,34,5,38,2,Some Random Commen with Id 152
153,35,3,150,1,Some Random Commen with Id 153
154,35,3,36,0,Some Random Commen with Id 154
155,35,3,103,9,Some Random Commen with Id 155
156,35,3,81,7,Some Random Commen with Id 156
157,35,3,67,0,Some Random Commen with Id 157
158,35,3,134,3,Some Random Commen with Id 158
159,35,3,48,6,Some Random Commen with Id 159
160,35,3,78,7,Some Random Commen with Id 160
161,36,8,89,6,Some Random Commen with Id 161
162,36,8,96,8,Some Random Commen with Id 162
163,36,8,108,9,Some Random Commen with Id 163
164,36,8,10,7,Some Random Commen with Id 164
165,36,8,66,4,Some Random Commen with Id 165
166,36,8,94,0,Some Random Commen with Id 166
167,36,8,197,8,Some Random Commen with Id 167
168,36,8,84,2,Some Random Commen with Id 168
169,36,8,37,6,Some Random Commen with Id 169
170,37,9,180,4,Some Random Commen with Id 170
171,37,9,78,8,Some Random Commen with Id 171
172,38,3,60,6,Some Random Commen with Id 172
173,38,3,109,1,Some Random Commen with Id 173
174,38,3,74,4,Some Random Commen with Id 174
175,38,3,190,5,Some Random Commen with Id 175
176,38,3,6,3,Some Random Commen with Id 176
177,38,3,183,2,Some Random Commen with Id 177
178,38,3,3,0,Some Random Commen with Id 178
179,38,3,145,1,Some Random Commen with Id 179
180,38,3,156,4,Some Random Commen with Id 180
181,39,3,197,4,Some Random Commen with Id 181
182,39,3,170,9,Some Random Commen with Id 182
183,39,3,73,5,Some Random Commen with Id 183
184,39,3,27,1,Some Random Commen with Id 184
